product_type;price;customer_demographics;shipping_times;shipping_costs
haircare;69.81;Non-binary;4;2.96
skincare;14.84;Female;2;9.72
haircare;11.32;Unknown;2;8.05
skincare;61.16;Non-binary;6;1.73
skincare;4.81;Non-binary;8;3.89
haircare;1.7;Non-binary;3;4.44
skincare;4.08;Male;8;3.88
cosmetics;42.96;Female;1;2.35
cosmetics;68.72;Female;7;3.4
skincare;64.02;Unknown;1;7.17
skincare;15.71;Non-binary;2;8.67
skincare;90.64;Female;1;4.52
haircare;71.21;Unknown;4;1.33
skincare;16.16;Male;9;9.54
skincare;99.17;Non-binary;5;2.04
skincare;36.99;Non-binary;7;2.42
skincare;7.55;Female;1;4.19
cosmetics;81.46;Female;9;3.59
haircare;36.44;Unknown;8;4.34
skincare;51.12;Unknown;3;4.74
skincare;96.34;Unknown;6;8.88
cosmetics;84.89;Unknown;6;6.04
haircare;27.68;Unknown;10;9.57
cosmetics;4.32;Unknown;7;2.92
haircare;4.16;Male;8;9.74
haircare;39.63;Male;3;2.23
haircare;97.45;Male;4;6.51
cosmetics;92.56;Unknown;8;7.41
cosmetics;2.4;Female;4;9.9
cosmetics;63.45;Female;7;8.1
haircare;8.02;Male;7;8.95
skincare;50.85;Male;4;2.68
skincare;79.21;Unknown;4;6.6
cosmetics;64.8;Non-binary;9;4.86
skincare;37.47;Unknown;7;1.02
cosmetics;84.96;Female;8;5.29
skincare;9.81;Female;3;2.11
skincare;23.4;Female;9;1.53
cosmetics;52.08;Non-binary;5;9.24
skincare;19.13;Female;3;5.56
skincare;80.54;Female;8;7.23
skincare;99.11;Female;8;5.77
skincare;46.53;Female;4;7.53
haircare;11.74;Unknown;9;3.69
cosmetics;51.36;Female;6;7.58
haircare;33.78;Male;6;5.22
haircare;27.08;Non-binary;8;4.07
skincare;95.71;Male;9;8.98
haircare;76.04;Non-binary;3;7.1
cosmetics;78.9;Unknown;6;2.51
cosmetics;14.2;Female;10;6.25
haircare;26.7;Male;1;4.78
skincare;98.03;Male;1;8.63
skincare;30.34;Male;3;1.01
haircare;31.15;Non-binary;3;4.31
haircare;79.86;Male;5;5.01
skincare;20.99;Non-binary;5;1.77
haircare;49.26;Unknown;1;9.16
skincare;59.84;Non-binary;7;4.94
cosmetics;63.83;Non-binary;7;7.29
skincare;17.03;Female;8;4.38
haircare;52.03;Unknown;7;9.03
cosmetics;72.8;Unknown;7;7.29
skincare;13.02;Non-binary;4;2.46
skincare;89.63;Female;6;4.59
skincare;33.7;Male;8;6.58
skincare;26.03;Female;8;2.22
skincare;87.76;Unknown;9;9.15
haircare;37.93;Non-binary;8;1.19
skincare;54.87;Non-binary;3;9.71
haircare;47.91;Female;4;6.32
cosmetics;6.38;Female;6;9.23
cosmetics;90.2;Non-binary;9;6.6
cosmetics;83.85;Male;5;1.51
haircare;3.17;Female;5;5.24
skincare;93;Non-binary;10;2.47
haircare;69.11;Male;10;7.05
haircare;57.45;Unknown;4;6.78
haircare;6.31;Unknown;5;8.47
haircare;57.06;Non-binary;1;6.5
skincare;91.13;Unknown;2;2.83
haircare;72.82;Unknown;5;4.07
skincare;17.03;Unknown;1;4.71
haircare;68.91;Unknown;8;4.95
haircare;89.1;Unknown;10;8.38
cosmetics;76.96;Female;2;8.25
skincare;20;Unknown;6;1.45
haircare;80.41;Male;10;6.58
cosmetics;75.27;Male;7;3.8
cosmetics;97.76;Unknown;8;9.93
skincare;13.88;Non-binary;7;7.67
cosmetics;62.11;Male;7;7.47
cosmetics;47.71;Male;8;4.47
haircare;69.29;Unknown;1;7.01
cosmetics;3.04;Unknown;9;6.94
haircare;77.9;Unknown;9;8.63
cosmetics;24.42;Non-binary;3;5.35
haircare;3.53;Male;9;7.9
skincare;19.75;Female;7;1.41
haircare;68.52;Unknown;6;1.31
