product_type;price;Availability;Revenue_generated;order_quantities
haircare;69.81;55;8662;96
skincare;14.84;95;7460.9;37
haircare;11.32;34;9577.75;88
skincare;61.16;68;7766.84;59
skincare;4.81;26;2686.51;56
haircare;1.7;87;2828.35;66
skincare;4.08;48;7823.48;58
cosmetics;42.96;59;8496.1;11
cosmetics;68.72;78;7517.36;15
skincare;64.02;35;4971.15;83
skincare;15.71;11;2330.97;80
skincare;90.64;95;6099.94;60
haircare;71.21;41;2873.74;85
skincare;16.16;5;4052.74;48
skincare;99.17;26;8653.57;78
skincare;36.99;94;5442.09;69
skincare;7.55;74;6453.8;78
cosmetics;81.46;82;2629.4;85
haircare;36.44;23;9364.67;46
skincare;51.12;100;2553.5;94
skincare;96.34;22;8128.03;68
cosmetics;84.89;60;7087.05;7
haircare;27.68;55;2390.81;63
cosmetics;4.32;30;8858.37;29
haircare;4.16;32;9049.08;2
haircare;39.63;73;2174.78;52
haircare;97.45;9;3716.49;48
cosmetics;92.56;42;2686.46;62
cosmetics;2.4;12;6117.32;24
cosmetics;63.45;3;8318.9;67
haircare;8.02;10;2766.34;35
skincare;50.85;28;9655.14;44
skincare;79.21;43;9571.55;64
cosmetics;64.8;63;5150;95
skincare;37.47;96;9061.71;21
cosmetics;84.96;11;6541.33;85
skincare;9.81;34;7573.4;28
skincare;23.4;5;2438.34;21
cosmetics;52.08;75;9692.32;88
skincare;19.13;26;1912.47;34
skincare;80.54;97;5724.96;39
skincare;99.11;35;5521.21;38
skincare;46.53;98;1839.61;57
haircare;11.74;6;5737.43;85
cosmetics;51.36;34;7152.29;72
haircare;33.78;1;5267.96;52
haircare;27.08;75;2556.77;6
skincare;95.71;93;7089.47;51
haircare;76.04;28;7397.07;9
cosmetics;78.9;19;8001.61;9
cosmetics;14.2;91;5910.89;82
haircare;26.7;61;9866.47;52
skincare;98.03;1;9435.76;11
skincare;30.34;93;8232.33;54
haircare;31.15;11;6088.02;61
haircare;79.86;16;2925.68;11
skincare;20.99;90;4767.02;83
haircare;49.26;65;1605.87;51
skincare;59.84;81;2021.15;44
cosmetics;63.83;30;1061.62;26
skincare;17.03;16;8864.08;72
haircare;52.03;23;6885.59;36
cosmetics;72.8;89;3899.75;40
skincare;13.02;55;4256.95;10
skincare;89.63;11;8458.73;75
skincare;33.7;72;8354.58;54
skincare;26.03;52;8367.72;19
skincare;87.76;16;9473.8;71
haircare;37.93;29;3550.22;58
skincare;54.87;62;1752.38;27
haircare;47.91;90;7014.89;22
cosmetics;6.38;14;8180.34;26
cosmetics;90.2;88;2633.12;77
cosmetics;83.85;41;7910.89;66
haircare;3.17;64;5709.95;1
skincare;93;29;1889.07;56
haircare;69.11;23;5328.38;22
haircare;57.45;14;2483.76;57
haircare;6.31;50;1292.46;51
haircare;57.06;56;7888.72;20
skincare;91.13;75;8651.67;41
haircare;72.82;9;4384.41;8
skincare;17.03;13;2943.38;72
haircare;68.91;82;2411.75;7
haircare;89.1;99;2048.29;80
cosmetics;76.96;83;8684.61;66
skincare;20;18;1229.59;22
haircare;80.41;24;5133.85;55
cosmetics;75.27;58;9444.74;85
cosmetics;97.76;10;5924.68;27
skincare;13.88;56;9592.63;96
cosmetics;62.11;90;1935.21;85
cosmetics;47.71;44;2100.13;10
haircare;69.29;88;4531.4;66
cosmetics;3.04;97;7888.36;72
haircare;77.9;65;7386.36;26
cosmetics;24.42;29;7698.42;32
haircare;3.53;56;4370.92;4
skincare;19.75;43;8525.95;27
haircare;68.52;17;9185.19;59
