customer_demographics;Number_of_products_sold;shipping_times;Revenue_generated
Non-binary;802;4;8662
Female;736;2;7460.9
Unknown;8;2;9577.75
Non-binary;83;6;7766.84
Non-binary;871;8;2686.51
Non-binary;147;3;2828.35
Male;65;8;7823.48
Female;426;1;8496.1
Female;150;7;7517.36
Unknown;980;1;4971.15
Non-binary;996;2;2330.97
Female;960;1;6099.94
Unknown;336;4;2873.74
Male;249;9;4052.74
Non-binary;562;5;8653.57
Non-binary;469;7;5442.09
Female;280;1;6453.8
Female;126;9;2629.4
Unknown;620;8;9364.67
Unknown;187;3;2553.5
Unknown;320;6;8128.03
Unknown;601;6;7087.05
Unknown;884;10;2390.81
Unknown;391;7;8858.37
Male;209;8;9049.08
Male;142;3;2174.78
Male;353;4;3716.49
Unknown;352;8;2686.46
Female;394;4;6117.32
Female;253;7;8318.9
Male;327;7;2766.34
Male;168;4;9655.14
Unknown;781;4;9571.55
Non-binary;616;9;5150
Unknown;602;7;9061.71
Female;449;8;6541.33
Female;963;3;7573.4
Female;963;9;2438.34
Non-binary;705;5;9692.32
Female;176;3;1912.47
Female;933;8;5724.96
Female;556;8;5521.21
Female;155;4;1839.61
Unknown;598;9;5737.43
Female;919;6;7152.29
Male;24;6;5267.96
Non-binary;859;8;2556.77
Male;910;9;7089.47
Non-binary;29;3;7397.07
Unknown;99;6;8001.61
Female;633;10;5910.89
Male;154;1;9866.47
Male;820;1;9435.76
Male;242;3;8232.33
Non-binary;622;3;6088.02
Male;701;5;2925.68
Non-binary;93;5;4767.02
Unknown;227;1;1605.87
Non-binary;896;7;2021.15
Non-binary;484;7;1061.62
Female;380;8;8864.08
Unknown;117;7;6885.59
Unknown;270;7;3899.75
Non-binary;246;4;4256.95
Female;134;6;8458.73
Male;457;8;8354.58
Female;704;8;8367.72
Unknown;513;9;9473.8
Non-binary;163;8;3550.22
Non-binary;511;3;1752.38
Female;32;4;7014.89
Female;637;6;8180.34
Non-binary;478;9;2633.12
Male;375;5;7910.89
Female;904;5;5709.95
Non-binary;106;10;1889.07
Male;241;10;5328.38
Unknown;359;4;2483.76
Unknown;946;5;1292.46
Non-binary;198;1;7888.72
Unknown;872;2;8651.67
Unknown;774;5;4384.41
Unknown;336;1;2943.38
Unknown;663;8;2411.75
Unknown;618;10;2048.29
Female;25;2;8684.61
Unknown;223;6;1229.59
Male;79;10;5133.85
Male;737;7;9444.74
Unknown;134;8;5924.68
Non-binary;320;7;9592.63
Male;916;7;1935.21
Male;276;8;2100.13
Unknown;114;1;4531.4
Unknown;987;9;7888.36
Unknown;672;9;7386.36
Non-binary;324;3;7698.42
Male;62;9;4370.92
Female;913;7;8525.95
Unknown;627;6;9185.19
